name_track,artist_track,uri_track,popularity,tempo,genres
VA Y VEN,Tainy,spotify:track:1Jo3PXI2jQY3kI2nZH3lyW,44,104,"pop reggaeton, reggaeton, trap latino, urbano latino"
Te Hace Falta,Nicky Jam,spotify:track:13CjciTGHD23U7h4XT13tj,36,180,"latin hip hop, reggaeton, trap latino, urbano latino"
Se De y Se Da,Nicky Jam,spotify:track:25NbsKV6Dgx29NF4j0pvLk,33,87,"latin hip hop, reggaeton, trap latino, urbano latino"
Celosa,Nicky Jam,spotify:track:17qNcPW6uoPpiV1u3mKM1H,33,110,"latin hip hop, reggaeton, trap latino, urbano latino"
JORDAN IV,Feid,spotify:track:5ZyNCQmxZlYZfAHeJXTkI2,69,166,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
HECTOL,Feid,spotify:track:1ExmH7o7Kkj1HsnyStw7TM,57,90,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
EL PADRINO,Feid,spotify:track:0zWkVCi9eFjcVAM839IkCZ,61,176,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
23 (With Ape Drums),Randy,spotify:track:1G7vCwBCxeTe8fB0EGMDdq,61,96,"memphis hip hop, tennessee hip hop, trap"
Me Extraña,Jhayco,spotify:track:2EYy5e5yDpF8yaxq8rNopo,58,156,"reggaeton, trap latino, urbano latino"
Confiésale,Nyno Vargas,spotify:track:3sf34zxtSzzCajD0tvdbX2,52,126,"flamenco urbano, pop flamenco, spanish hip hop"
Batman en Can Am,Arcángel,spotify:track:06xqvKWGYnt3XpCgTpEhCC,47,94,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
Sal y Perrea - Remix,Sech,spotify:track:1mG8VynhqySA52bALfYrvO,62,90,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
Miami - Remix,Omy de Oro,spotify:track:6LjA5mwgRSSjIprVvbzGb6,42,91,"trap latino, urbano latino"
Ilegal,Yandel,spotify:track:3vMoVTnkX7hosHDPZxKPfD,41,164,"latin hip hop, reggaeton, trap latino, urbano latino"
Armao 100pre Andamos,Anuel AA,spotify:track:127Q567KlWtlo1pLsiXr3h,61,84,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
"Esta Cabron (Remix) [feat. Anuel Aa, Yomo, Pusho, Almighty, D.Ozi & Jamby ""El Favo""]",Ñejo,spotify:track:6J5mJPOs8EGCyjljxeLYx5,63,180,"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino"
Playa,Sech,spotify:track:243jb092tx4s5UZntX2xhC,58,170,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
Close Friends,Alvaro Diaz,spotify:track:6o20NaKRuPqpluh8DPRur1,60,95,"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino"
Colorín Colorado,Justin Quiles,spotify:track:2YZDh5CecWx0qlFiTvqVQ9,67,170,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
OG Black,Alvaro Diaz,spotify:track:4Zqp1yolC5Llwva0JTXXVj,56,78,"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino"
FUMETEO - Remix,Feid,spotify:track:4sIVl8rmGPDemhnod4JID3,68,94,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
Mcgregor,Anuel AA,spotify:track:5zaIVQv1oPnTa86BUmmbjz,65,112,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
Llorando en un Ferrari,Anuel AA,spotify:track:0x4Kmsd1YLB9emO8thJ62U,57,121,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
